System;Total production;Total surplus;Total shortage;Total unused;Net surplus;Average cost;Difference from arbitrage
Renewables only;9650577.98371897;1163208.10101223;-1616756.61695495;2024928.59589431;-453548.515942727;81.4930976791855;0
Renewables only;8725593.03495281;993279.423583224;-1918874.01426709;1478686.44635841;-925594.590683862;139.627320250297;0
Renewables only;9677505.78754464;1185300.73468963;-1713832.86656213;1880153.43295493;-528532.131872508;117.213955959239;0
Renewables only;10147887.7724576;1276328.2422367;-1512712.60180567;2089711.50514958;-236384.359568966;57.6735711297996;0
Renewables only;10805264.6367527;1372571.71900534;-1197158.76907157;2431407.09546935;175412.949933775;143.126071507288;0
Renewables only;10316539.8469309;1291038.08864011;-1344579.65024897;2368546.98821415;-53541.5616088595;145.476814530907;0
Renewables only;9619058.09454269;1145016.76978468;-1778354.40963743;1787284.24660971;-633337.639852748;90.526985328707;0
Renewables only;8937438.09885511;1024484.13887103;-1953262.64432703;1492098.12961011;-928778.505455999;108.201909210612;0
Renewables only;8254163.78514283;954256.389019614;-1994283.39332737;1177923.1112498;-1040027.00430776;110.281580307786;0
Renewables only;10575099.6098281;1344398.41934988;-1324898.8097632;2361759.84392441;19499.6095866834;108.015528197868;0
Renewables only;9945405.86153887;1212897.90663064;-1578809.22778335;2211782.08867029;-365911.321152705;159.349001626393;0
Renewables only;8703089.95304552;1019981.1447413;-1862717.54170805;1581800.10730099;-842736.396966749;112.151064925323;0
Renewables only;8299714.38205259;937940.013972945;-2210045.51319258;1400552.96079278;-1272105.49921963;133.397389656373;0
Renewables only;9587392.42601779;1157287.45906421;-1793817.66482029;1939857.15504636;-636530.205756081;179.707278930595;0
Renewables only;9880510.31273515;1206456.09881983;-1551331.79292463;2121499.80542274;-344875.694104795;64.3619196139273;0
Renewables only;9787917.31086378;1203590.27707527;-1519116.01302721;2012675.19711939;-315525.735951948;213.885905701752;0
Renewables only;10427708.189636;1314639.63087669;-1250146.26049828;2279290.99531883;64493.3703784113;123.416224948468;0
Renewables only;8517426.62111617;948953.746099869;-2065202.08996873;1089025.71540376;-1116248.34386886;82.002045416588;0
Renewables only;9531705.40426613;1132412.90390891;-2221177.68378424;2212157.49642866;-1088764.77987533;162.336474760283;0
Renewables only;10128293.2572951;1229900.1713796;-1713661.74730096;2410565.73906464;-483761.575921359;119.815455548196;0
Renewables only;9771033.46214248;1188565.67674176;-1757596.2755005;2007363.45305385;-569030.598758735;94.7040013610961;0
Renewables only;9238354.77694772;1082776.57705322;-1881466.90233466;1947397.55678769;-798690.325281434;139.143204292354;0
Renewables only;8162024.90348479;914233.608620592;-2023686.13736508;1152852.68494796;-1109452.52874449;139.808631891267;0
Renewables only;9519553.72639384;1161632.74525876;-1743265.5501835;1831298.83433613;-581632.804924737;109.575825623979;0
Renewables only;9223510.56059185;1117018.28176383;-1811633.05835241;1794488.58719289;-694614.776588581;122.33715009918;0
Renewables only;9226632.36898588;1087110.24248205;-1891599.71667834;1859214.26738419;-804489.474196288;132.980015489884;0
Renewables only;8507006.06507049;988053.260364077;-2208786.50075447;1609821.1939843;-1220733.24039039;158.457967746973;0
Renewables only;6341619.12584311;611236.174324567;-3148808.08251779;896351.582966688;-2537571.90819322;97.0421536163362;0
Renewables only;9539850.56175179;1171860.70165966;-1732112.71234191;1903634.66481964;-560252.010682255;201.869860186566;0
Renewables only;8859853.70024904;1001559.84685042;-2125366.05071728;1517802.79784713;-1123806.20386685;97.7430668474993;0
Renewables only;9873705.8643784;1209040.59755764;-1531632.88582711;2027312.89561131;-322592.288269473;104.501567647807;0
Renewables only;8787330.49716765;1037493.44863674;-2026343.96256688;1401667.51603002;-988850.513930145;178.086536046404;0
Renewables only;9270506.82171404;1108648.74562399;-1973694.80384049;1831495.01807889;-865046.058216496;130.712611630299;0
Renewables only;9347785.31779683;1133557.75002512;-1822443.24590521;1865184.24460852;-688885.495880089;109.544993989781;0
Renewables only;8887099.21361889;1059822.06486486;-1754810.91308454;1768853.8479486;-694988.848219682;74.8009918062168;0
Renewables only;8366335.93248657;938079.31972836;-2273992.25914544;1326225.56817035;-1335912.93941708;148.026897715066;0
Renewables only;10228355.3479872;1271398.87832123;-1484217.68892551;2281003.73232933;-212818.810604285;104.422590561956;0
Renewables only;8437506.76843746;990188.563205041;-2196791.61600799;1550739.27937972;-1206603.05280294;97.8248114261798;0
