Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;Tootmine;Planeeritud tarbimine;Planeeritud tootmine;NPS Läti;NPS Leedu;NPS Soome;NPS Eesti
1388527200;01.01.2014 00:00;;;;;28.07;28.07;28.07;28.07
1388530800;01.01.2014 01:00;;;;;32.06;32.06;28.67;28.67
1388534400;01.01.2014 02:00;;;;;32.02;32.02;28.08;28.08
1388538000;01.01.2014 03:00;;;;;27.38;27.38;27.38;27.38
1388541600;01.01.2014 04:00;;;;;26.21;26.21;26.21;26.21
1388545200;01.01.2014 05:00;;;;;25.98;25.98;25.98;25.98
1388548800;01.01.2014 06:00;;;;;26.38;26.38;26.38;26.38
1388552400;01.01.2014 07:00;;;;;26.76;26.76;26.76;26.76
1388556000;01.01.2014 08:00;;;;;27.14;27.14;27.14;27.14
1388559600;01.01.2014 09:00;;;;;26.97;26.97;26.97;26.97
1388563200;01.01.2014 10:00;;;;;35.05;35.05;26.54;27.83
1388566800;01.01.2014 11:00;;;;;35.06;35.06;27.59;30.68
1388570400;01.01.2014 12:00;;;;;35.07;35.07;28.43;32.09
1388574000;01.01.2014 13:00;;;;;35.07;35.07;28.68;32.75
1388577600;01.01.2014 14:00;;;;;35.06;35.06;28.82;33.27
1388581200;01.01.2014 15:00;;;;;35.06;35.06;29.06;34.44
1388584800;01.01.2014 16:00;;;;;35.1;35.1;29.51;35.1
1388588400;01.01.2014 17:00;;;;;35.49;35.49;32.38;35.49
1388592000;01.01.2014 18:00;;;;;35.1;35.1;33.26;35.1
1388595600;01.01.2014 19:00;;;;;35.09;35.09;33.97;35.09
1388599200;01.01.2014 20:00;;;;;36.01;36.01;31.16;35.01
1388602800;01.01.2014 21:00;;;;;35.04;35.04;29.34;34.21
1388606400;01.01.2014 22:00;;;;;33.01;33.01;30.37;32.47
1388610000;01.01.2014 23:00;;;;;28.72;28.72;28.72;28.72
1388613600;02.01.2014 00:00;;;;;32.05;32.05;27.84;27.84
1388617200;02.01.2014 01:00;;;;;33.01;33.01;27.9;27.9
1388620800;02.01.2014 02:00;;;;;29.1;29.1;26.94;26.94
1388624400;02.01.2014 03:00;;;;;29.08;29.08;26.37;26.37
1388628000;02.01.2014 04:00;;;;;29.09;29.09;26.56;26.56
1388631600;02.01.2014 05:00;;;;;36.01;36.01;27.15;27.15
1388635200;02.01.2014 06:00;;;;;29.08;29.08;29.08;29.08
