Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;Tootmine;Planeeritud tarbimine;Planeeritud tootmine
1451599200;01.01.2016 00:00;932.3564;1008.592;920.7;932.5
1451602800;01.01.2016 01:00;918.5364;1012.842;850.9;960.1
1451606400;01.01.2016 02:00;901.9489;1067.5358;814.1;954.2
1451610000;01.01.2016 03:00;869.772;1033.3151;773.1;926.5
1451613600;01.01.2016 04:00;839.9948;1073.0599;791.6;948.7
1451617200;01.01.2016 05:00;815.8754;1059.9115;795.4;949.8
1451620800;01.01.2016 06:00;817.3161;1022.4346;816.2;947
1451624400;01.01.2016 07:00;825.8123;737.3862;844.5;943.2
1451628000;01.01.2016 08:00;848.9157;769.8696;879;941.4
1451631600;01.01.2016 09:00;864.1873;771.6599;906.3;724.9
1451635200;01.01.2016 10:00;888.3388;679.1306;940.6;711.1
1451638800;01.01.2016 11:00;927.1892;685.7349;965;767.9
1451642400;01.01.2016 12:00;950.6201;740.2626;977.2;750.9
1451646000;01.01.2016 13:00;971.6496;694.6707;989.2;738
1451649600;01.01.2016 14:00;975.1227;720.4373;980.6;742.1
1451653200;01.01.2016 15:00;987.1458;804.2288;1016.6;917.7
1451656800;01.01.2016 16:00;1035.0356;913.6624;1104.3;953
1451660400;01.01.2016 17:00;1100.0673;920.2579;1106;960.5
1451664000;01.01.2016 18:00;1106.2076;922.4407;1095.7;964.7
1451667600;01.01.2016 19:00;1102.929;994.758;1084.1;968.5
1451671200;01.01.2016 20:00;1089.4308;985.4326;1060.8;971.2
1451674800;01.01.2016 21:00;1072.3397;999.6347;1119.7;1006.2
1451678400;01.01.2016 22:00;1036.7905;944.0875;1070.8;1004.5
1451682000;01.01.2016 23:00;995.7773;919.639;1008.3;1002.2
1451685600;02.01.2016 00:00;951.812;948.9648;882.3;952.1
1451689200;02.01.2016 01:00;901.5043;991.4564;883.2;952.4
1451692800;02.01.2016 02:00;877.1885;961.8588;859.7;947
1451696400;02.01.2016 03:00;867.4455;945.9206;850.6;946.7
1451700000;02.01.2016 04:00;862.5789;941.6589;846.9;945.1
1451703600;02.01.2016 05:00;862.0217;932.9202;857.7;945.5
1451707200;02.01.2016 06:00;877.7275;938.5283;890.9;941.4
1451710800;02.01.2016 07:00;924.5413;943.4846;940.3;937.3
1451714400;02.01.2016 08:00;985.6953;943.0778;994.8;932.6
1451718000;02.01.2016 09:00;1023.1514;940.409;1037.6;926.6
1451721600;02.01.2016 10:00;1082.6727;913.1287;1088.3;921.7
1451725200;02.01.2016 11:00;1128.151;954.1199;1104.6;916
1451728800;02.01.2016 12:00;1137.5602;892.3784;1102.8;910.5
1451732400;02.01.2016 13:00;1128.9872;873.9087;1100.6;907.3
1451736000;02.01.2016 14:00;1121.6534;881.9052;1105.5;904.4
1451739600;02.01.2016 15:00;1128.0282;880.4916;1136.1;903.6
1451743200;02.01.2016 16:00;1166.3478;959.1345;1195.7;1035.1
1451746800;02.01.2016 17:00;1227.3209;1037.1156;1195.9;1036.3
1451750400;02.01.2016 18:00;1233.2968;1026.2782;1177.8;1036.4
1451754000;02.01.2016 19:00;1225.796;1027.2206;1156.8;1036.4
1451757600;02.01.2016 20:00;1211.5294;1027.2997;1120.1;1034.1
1451761200;02.01.2016 21:00;1162.7046;1014.9625;1079;906.9
1451764800;02.01.2016 22:00;1113.6505;921.6839;1022;905
1451768400;02.01.2016 23:00;1058.5708;905.4943;967.6;898.4
1451772000;03.01.2016 00:00;1000.8199;988.9445;843.9;843.9
1451775600;03.01.2016 01:00;962.1186;956.7908;813.2;813.2
1451779200;03.01.2016 02:00;927.2046;946.8062;804.7;804.7
1451782800;03.01.2016 03:00;903.1505;971.4062;756.7;756.7
1451786400;03.01.2016 04:00;899.4897;1021.2963;781.4;781.4
1451790000;03.01.2016 05:00;890.8171;1037.5347;788.7;788.7
1451793600;03.01.2016 06:00;902.2302;1038.0311;840.5;840.5
1451797200;03.01.2016 07:00;944.9506;1052.7776;912.5;912.5
1451800800;03.01.2016 08:00;985.7935;1041.4042;973;973
1451804400;03.01.2016 09:00;1036.2423;1047.1802;970.8;970.8
1451808000;03.01.2016 10:00;1078.4613;1052.7892;992.7;992.7
1451811600;03.01.2016 11:00;1125.1025;1023.8596;965.6;965.6
1451815200;03.01.2016 12:00;1141.4484;1065.3265;1009.3;1009.3
1451818800;03.01.2016 13:00;1142.4819;1052.1132;992.3;992.3
1451822400;03.01.2016 14:00;1135.1865;1070.1642;983.1;983.1
1451826000;03.01.2016 15:00;1134.9064;983.3714;988.2;988.2
1451829600;03.01.2016 16:00;1158.4866;972.6719;1015.9;1015.9
1451833200;03.01.2016 17:00;1231.0278;976.957;1081.2;1081.2
1451836800;03.01.2016 18:00;1232.8278;1113.4348;1101.1;1101.1
1451840400;03.01.2016 19:00;1221.9982;1235.2139;1074.2;1074.2
1451844000;03.01.2016 20:00;1200.0127;1200.234;1034.1;1034.1
1451847600;03.01.2016 21:00;1158.8375;1178.0074;962.1;962.1
1451851200;03.01.2016 22:00;1107.3448;1226.91;890.9;890.9
1451854800;03.01.2016 23:00;1045.5538;1190.3149;823;823
1451858400;04.01.2016 00:00;967.5701;1208.0441;967.7;1193.1
1451862000;04.01.2016 01:00;950.1888;1235.7305;960.2;1176.3
1451865600;04.01.2016 02:00;910.3496;1185.0216;937.1;1232.3
1451869200;04.01.2016 03:00;907.333;1208.3677;927.8;1280.3
1451872800;04.01.2016 04:00;914.1357;1232.4535;934.1;1344.6
1451876400;04.01.2016 05:00;930.2508;1294.9485;962.6;1386.1
1451880000;04.01.2016 06:00;983.4028;1268.1665;1095.7;1241.4
1451883600;04.01.2016 07:00;1142.2955;1192.2145;1259.4;1282.8
1451887200;04.01.2016 08:00;1266.2261;1373.1129;1384.5;1778.7
1451890800;04.01.2016 09:00;1374.3481;1634.8575;1410.5;1685
1451894400;04.01.2016 10:00;1400.1289;1561.5118;1397.8;1346.3
1451898000;04.01.2016 11:00;1400.3887;1349.3151;1400;1435.6
1451901600;04.01.2016 12:00;1389.1632;1468.4458;1381.9;1414.2
1451905200;04.01.2016 13:00;1397.5055;1440.4546;1399.1;1417.4
1451908800;04.01.2016 14:00;1391.3804;1489.785;1395.3;1507.1
1451912400;04.01.2016 15:00;1391.4293;1572.443;1417;1642.6
1451916000;04.01.2016 16:00;1430.7582;1648.3846;1461.6;1787.6
1451919600;04.01.2016 17:00;1453.4688;1675.8766;1445.9;1739
1451923200;04.01.2016 18:00;1444.6591;1681.381;1424.6;1653.2
