Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;Tootmine;Planeeritud tarbimine;Planeeritud tootmine;NPS Eesti;NPS Soome;NPS Leedu;NPS Läti
1609452000;01.01.2021 00:00;855.6;309.08;927.6;328.2;24.07;24.07;24.07;24.07
1609455600;01.01.2021 01:00;837.8;309.38;926.9;315.3;24.95;24.95;24.95;24.95
1609459200;01.01.2021 02:00;809.6;269.98;896.6;310.9;24.35;24.35;24.35;24.35
1609462800;01.01.2021 03:00;784.5;270.58;885.8;308.1;23.98;23.98;23.98;23.98
1609466400;01.01.2021 04:00;764.8;259.78;859.1;304.6;23.72;23.72;23.72;23.72
1609470000;01.01.2021 05:00;764.9;263.055;850.1;307.8;23.73;23.73;23.73;23.73
1609473600;01.01.2021 06:00;775.3;260.43;852.6;306.3;24.06;24.06;24.06;24.06
1609477200;01.01.2021 07:00;795.1;260.39;871.8;309.1;24.44;24.44;24.44;24.44
1609480800;01.01.2021 08:00;819.8;256.125;897.3;313.1;24.93;24.93;24.93;24.93
1609484400;01.01.2021 09:00;828.8;254.175;909.9;311.7;24.9;24.9;24.9;24.9
1609488000;01.01.2021 10:00;861.3;253.435;948.4;304.6;25.07;25.07;25.07;25.07
1609491600;01.01.2021 11:00;897.3;254.81;977.3;302;30.02;30.02;25.63;30.02
1609495200;01.01.2021 12:00;921.6;256.16;996.1;300.8;37.14;37.14;25.92;37.14
1609498800;01.01.2021 13:00;934.8;255.55;1013.7;299.1;39.05;39.05;26.13;39.05
1609502400;01.01.2021 14:00;943.6;259.065;1024.5;296.8;40.59;40.59;26.57;40.59
1609506000;01.01.2021 15:00;972.5;264.005;1047.7;294.8;40.79;40.79;27.3;40.79
1609509600;01.01.2021 16:00;1024.3;318.54;1049.2;295;45.47;45.47;28.61;45.47
1609513200;01.01.2021 17:00;1032.8;320.155;1044.4;295.4;51.72;51.72;30.25;51.72
1609516800;01.01.2021 18:00;1020.1;315.415;1039;297.1;55.39;55.39;30.19;55.39
1609520400;01.01.2021 19:00;1005.8;360.59;1022;302.1;53.01;53.01;28.82;53.01
1609524000;01.01.2021 20:00;990.6;379.235;996.4;305.6;55.74;55.74;28.25;55.74
1609527600;01.01.2021 21:00;957.2;344.365;1021.1;307.9;54.94;54.94;27.32;54.94
1609531200;01.01.2021 22:00;914.2;362.375;960;311.6;50.82;50.82;28.25;50.82
1609534800;01.01.2021 23:00;880.5;357.98;928.2;314.9;45.22;45.22;27.01;45.22
1609538400;02.01.2021 00:00;849.3;376.28;904.4;321.6;25.64;25.64;25.64;25.64
1609542000;02.01.2021 01:00;810.7;383.28;867;324.3;25.59;25.59;25.59;25.59
1609545600;02.01.2021 02:00;791.1;322.48;858.8;328.5;24.91;24.91;24.91;24.91
1609549200;02.01.2021 03:00;774.7;324.28;844.9;333.6;24.74;24.74;24.74;24.74
1609552800;02.01.2021 04:00;775.2;322.08;847.8;336.9;24.66;24.66;24.66;24.66
1609556400;02.01.2021 05:00;786.9;329.655;847.9;341.8;24.72;24.72;24.72;24.72
1609560000;02.01.2021 06:00;812.3;342.43;888.6;340.5;24.92;24.92;24.92;24.92
1609563600;02.01.2021 07:00;854.6;356.09;929.8;337.4;30.05;30.05;25.62;30.05
1609567200;02.01.2021 08:00;885.9;388.425;1014.6;349.1;26.19;26.19;26.19;26.19
1609570800;02.01.2021 09:00;923.3;358.375;1061.7;360.5;43.3;43.3;28.02;43.3
1609574400;02.01.2021 10:00;969.9;466.035;1133.6;466;47.85;47.85;27.65;47.85
1609578000;02.01.2021 11:00;990.9;516.51;1159.2;552.5;50.75;50.75;28.83;50.75
1609581600;02.01.2021 12:00;998;518.665;1151;553.5;50.9;50.9;29.76;50.9
1609585200;02.01.2021 13:00;1003.9;518.555;1139.4;550.4;53.75;53.75;28.62;53.75
1609588800;02.01.2021 14:00;1007;514.165;1166.3;546.7;50.75;50.75;28.72;50.75
1609592400;02.01.2021 15:00;1031.4;514.405;1194.5;545.8;49.48;49.48;36.73;49.48
1609596000;02.01.2021 16:00;1088.1;520.34;1246.6;544;52.16;52.16;46.05;52.16
1609599600;02.01.2021 17:00;1096.2;516.455;1231.1;544.1;58.88;58.88;58.88;58.88
1609603200;02.01.2021 18:00;1084.7;516.615;1201.8;543.6;60.51;60.51;60.51;60.51
1609606800;02.01.2021 19:00;1067;521.09;1170.8;542.9;61.56;61.56;59.84;61.56
1609610400;02.01.2021 20:00;1029.1;520.235;1145.7;541.7;56.17;56.17;40.15;56.17
1609614000;02.01.2021 21:00;989.8;513.765;1079.3;542;55.01;55.01;27.38;55.01
1609617600;02.01.2021 22:00;936.7;516.875;1034.5;491.5;52.6;52.6;31.15;52.6
1609621200;02.01.2021 23:00;898.6;427.08;1022.4;476.4;47.13;47.13;27.91;47.13
1609624800;03.01.2021 00:00;864.1;458.58;1022.6;477.3;39.56;39.56;25.94;39.56
1609628400;03.01.2021 01:00;835.1;375.78;933;382.8;25.27;25.27;25.27;25.27
1609632000;03.01.2021 02:00;814.8;375.28;891.3;381;24.59;24.59;24.59;24.59
1609635600;03.01.2021 03:00;792.5;358.28;903.2;382.5;23.86;23.86;23.86;23.86
1609639200;03.01.2021 04:00;788.2;349.38;903.8;382.7;23.57;23.57;23.57;23.57
1609642800;03.01.2021 05:00;791.6;345.655;917.8;387.5;23.49;23.49;23.49;23.49
1609646400;03.01.2021 06:00;827.9;350.93;933.5;387.8;23.85;23.85;23.85;23.85
1609650000;03.01.2021 07:00;859;358.59;987.7;386.1;24.05;24.05;24.05;24.05
1609653600;03.01.2021 08:00;914.2;372.525;1057.2;387.1;24.8;24.8;24.8;24.8
1609657200;03.01.2021 09:00;949.3;366.175;1080.8;386.5;24.97;24.97;24.97;24.97
