Ajatempel (UTC);Kuupäev (Eesti aeg);Tuuleparkide toodang;Tuuleparkide toodangu prognoos
1451599200;01.01.2016 00:00;105.5229;65.6
1451602800;01.01.2016 01:00;105.5178;71.1
1451606400;01.01.2016 02:00;114.1483;69
1451610000;01.01.2016 03:00;82.6597;65.2
1451613600;01.01.2016 04:00;74.29;63
1451617200;01.01.2016 05:00;63.428;61.1
1451620800;01.01.2016 06:00;52.645;58
1451624400;01.01.2016 07:00;53.8092;54.3
1451628000;01.01.2016 08:00;54.7936;52.3
1451631600;01.01.2016 09:00;56.0276;51
1451635200;01.01.2016 10:00;53.029;49.4
1451638800;01.01.2016 11:00;36.9231;48.5
1451642400;01.01.2016 12:00;37.6386;46.4
1451646000;01.01.2016 13:00;27.7629;46.5
1451649600;01.01.2016 14:00;22.9622;48.9
1451653200;01.01.2016 15:00;26.8557;55.2
1451656800;01.01.2016 16:00;39.5308;65.1
1451660400;01.01.2016 17:00;45.6206;71.9
1451664000;01.01.2016 18:00;45.519;75.9
1451667600;01.01.2016 19:00;50.6228;79.7
1451671200;01.01.2016 20:00;56.347;82.3
1451674800;01.01.2016 21:00;62.0837;82.4
1451678400;01.01.2016 22:00;60.5508;80.9
1451682000;01.01.2016 23:00;54.2258;78.8
1451685600;02.01.2016 00:00;55.9488;58
1451689200;02.01.2016 01:00;68.7387;64.5
1451692800;02.01.2016 02:00;58.0329;62.9
1451696400;02.01.2016 03:00;58.0199;61.4
1451700000;02.01.2016 04:00;49.175;60.4
1451703600;02.01.2016 05:00;49.7343;57.9
1451707200;02.01.2016 06:00;52.6197;53.8
1451710800;02.01.2016 07:00;53.1778;49.8
1451714400;02.01.2016 08:00;55.9191;45.2
1451718000;02.01.2016 09:00;45.3;39.2
1451721600;02.01.2016 10:00;35.1907;34.2
1451725200;02.01.2016 11:00;34.9561;28.5
1451728800;02.01.2016 12:00;27.564;23.1
1451732400;02.01.2016 13:00;17.9337;20.1
1451736000;02.01.2016 14:00;16.4029;18
1451739600;02.01.2016 15:00;12.4246;17.3
1451743200;02.01.2016 16:00;15.6045;18.5
1451746800;02.01.2016 17:00;23.5662;19.1
1451750400;02.01.2016 18:00;26.9137;19.2
1451754000;02.01.2016 19:00;21.105;19
1451757600;02.01.2016 20:00;22.1648;16.8
1451761200;02.01.2016 21:00;21.5453;14.6
1451764800;02.01.2016 22:00;15.3941;12.7
