Electricity prices from IEA;;;;
Reference: IEA (2020), Energy Prices 2020, IEA, Paris https://www.iea.org/reports/energy-prices-2020;;;;
Country;Industry (USD/MWh);Residential (USD/MWh);;
country;industry;residential;;
Algeria;22.2946342303387;39.333596214511; ; 
Uzbekistan;29.2598987879426;27.7474948970125; ; 
Russia;41.347947538098;60.4988697515141; ; 
;45.9369290080644;18.7864649731416; ; 
Saudi Arabia;47.2800455358595;48.1014566709965; ; 
;49.6784679069221;35.3339715582247; ; 
South Africa;64.1995829068332;108.824109296716; ; 
;67.6936948140778;101.349128696503; ; 
United States;69.5713028421646;128.703145295973; ; 
;73.8785496309436;88.3203564620572; ; 
;76.2868854811399;77.2631328126318; ; 
;78.1717256751456;75.1167150255571; ; 
;81.9372487977139;76.8481234621753; ; 
Argentina;82.4705276483662;94.4426989321682; ; 
;83.8110931476184;89.8768956966211; ; 
;84.0859154525365;103.686275915586; ; 
Canada;84.1038236729071;112.864062315491; ; 
;85.1511347749378;135.927480039908; ; 
;85.6707929553347;196.68537762108; ; 
;87.3496886150785;195.760197540444; ; 
China;89.4762897840873;80.4827594932439; ; 
Mexico;89.7001425387198;62.7193019450396; ; 
;90.504354286844;42.2077168980583; ; 
;91.9051878354204;84.5820189274448; ; 
;97.2391835250932;198.97189410608; ; 
;99.9356167677786;101.238696060883; ; 
;106.936804645423;120.63557499283; ; 
India;110.14269588141;66.3539379761082; ; 
;112.558952675232;210.676947148231; ; 
;113.652387284398;200.756169975877; ; 
;113.876240039031;186.878468766342; ; 
;116.338620339988;357.666711651681; ; 
;116.562473094621;182.992712427673; ; 
;117.681736867783;171.890551460045; ; 
;117.924244018635;115.485405877292; ; 
;118.17741082447;195.575161524317; ; 
;119.26736054643;93.5894773022487; ; 
;119.808338036792;131.288362778435; ; 
;120.032190791425;96.9509649285582; ; 
;120.052917898335;79.9550641879924; ; 
;122.494571092382;91.3205832949756; ; 
;123.278055733596;158.382922282765; ; 
;125.740436034554;117.489962718669; ; 
;131.362584064362;211.787163244994; ; 
;132.456018673529;229.991860523963; ; 
;134.582619842538;158.092151400279; ; 
;134.907479327919;116.673096403572; ; 
;135.554561717352;117.11356466877; ; 
;139.171601312504;160.788390492417; ; 
;140.22911260163;131.214530673478; ; 
;140.488888676303;196.016401255082; ; 
;145.861354787483;256.565879147759; ; 
;146.670668592693;196.05096842293; ; 
;152.826619345087;155.237310008603; ; 
Spain;154.169735872882;311.222671603772; ; 
;155.512852400677;187.988684863105; ; 
;158.758717342849;196.791112487438; ; 
;160.661465757225;229.436752475582; ; 
;165.210473521007;328.364936812121; ; 
Brazil;168.703583238467;196.281039659913; ; 
;169.503649565209;179.847100153511; ; 
Germany;172.973367262013;353.040811248503; ; 
Japan;173.532999148594;238.688553281938; ; 
;188.531133708972;173.185803572935; ; 
Cyprus;235.580185887983;240.287793135608; ; 
Cabo Verde;241.47231017956;292.163961942678; ; 
