;Storage energy;Storage power;Wind capacity;Total production;Total surplus;Total shortage;Total unused;Net surplus
0;1.0;100.0;3800;9477994.844516806;1149831.7889503366;-1748808.3062547683;1871672.6266867134;-598976.517304427
1;1.0;166.810053720006;3800;9498787.361018948;1153417.4592843063;-1736640.6835895465;1879553.3398065553;-583223.2243052367
2;1.0;278.255940220713;3800;9523716.880651783;1158102.1738334456;-1732932.6323715828;1893393.98712872;-574830.4585381342
3;1.0;464.158883361278;3800;9465566.017241899;1148233.2971820168;-1758413.7876836655;1868788.9136140712;-610180.4905016456
4;1.0;774.263682681127;3800;9435763.307540027;1141992.5699242929;-1766220.2902579638;1854448.208623525;-624227.7203336764
5;1.0;1291.54966501488;3800;9475683.1611309;1149639.0917494844;-1750237.964182052;1865333.1531096362;-600598.8724325664
6;1.0;2154.43469003188;3800;9481961.100876978;1150370.4487981335;-1748390.7519983812;1881858.4758806243;-598020.3032002515
7;1.0;3593.8136638046294;3800;9465710.406541906;1147537.997003796;-1752339.145700885;1868010.009999949;-604801.1486970908
8;1.0;5994.84250318941;3800;9477588.442828257;1150154.933266166;-1750170.9179911304;1874034.3693099928;-600015.984724962
9;1.0;10000.0;3800;9464897.604714455;1148126.4227229464;-1755954.6958984784;1866102.34290464;-607828.2731755315
10;100.0;100.0;3800;9461431.815757953;1123124.1579143198;-1737216.7444915485;1863124.4957655675;-614092.5865772283
11;100.0;166.810053720006;3800;9490116.32614832;1127906.4052166317;-1730034.0846669264;1875864.504193912;-602127.679450297
12;100.0;278.255940220713;3800;9494094.631785812;1127141.0738183523;-1726741.3063770435;1878354.867401771;-599600.2325586902
13;100.0;464.158883361278;3800;9459657.344260374;1122442.2595032998;-1738093.7592265555;1866997.4238727137;-615651.499723254
14;100.0;774.263682681127;3800;9463580.270331891;1121915.104065323;-1736458.9671378618;1863021.573991828;-614543.8630725419
15;100.0;1291.54966501488;3800;9489792.591067603;1127745.5242148736;-1724944.2513035175;1878856.075623019;-597198.7270886456
16;100.0;2154.43469003188;3800;9427089.092835916;1116043.8858905218;-1750206.2458455816;1845793.164979543;-634162.3599550553
17;100.0;3593.8136638046294;3800;9491274.420214921;1127818.8421235338;-1728293.9881022815;1879499.801109272;-600475.1459787478
18;100.0;5994.84250318941;3800;9486202.176836714;1126047.1533847395;-1728599.848021763;1871461.9109233615;-602552.6946370241
19;100.0;10000.0;3800;9503372.106035497;1128790.0028016916;-1722793.4143601358;1881402.3443956666;-594003.4115584493
20;162.377673918872;100.0;3800;9523959.2349622;1124791.315212574;-1702709.611160271;1887641.105847256;-577918.2959476962
21;162.377673918872;166.810053720006;3800;9458875.399061726;1111032.136122842;-1723577.930229227;1861778.0034855756;-612545.7941063822
22;162.377673918872;278.255940220713;3800;9485626.67844729;1113851.4568712597;-1719731.8473611213;1875637.772069285;-605880.3904898583
23;162.377673918872;464.158883361278;3800;9444436.125444125;1107094.861941734;-1730231.6557311672;1855184.089085991;-623136.7937894332
24;162.377673918872;774.263682681127;3800;9467981.441235071;1110829.2388090019;-1729626.0664884984;1867027.2377409814;-618796.8276794998
25;162.377673918872;1291.54966501488;3800;9439718.33122946;1105762.1176545816;-1737783.3968560419;1849371.2401057978;-632021.2792014624
26;162.377673918872;2154.43469003188;3800;9448835.116516702;1107466.7991932784;-1734045.3682165858;1856939.9012357148;-626578.5690233066
27;162.377673918872;3593.8136638046294;3800;9485903.589127677;1112936.852022708;-1720550.443521578;1874066.1966913608;-607613.591498868
28;162.377673918872;5994.84250318941;3800;9480877.850220833;1113514.3169470092;-1722366.3776114227;1871583.1011575954;-608852.0606644128
29;162.377673918872;10000.0;3800;9500790.059079861;1116487.1444404735;-1710558.1595399603;1883834.607039981;-594071.0150994846
30;263.665089873036;100.0;3800;9498950.28926417;1111751.7454638728;-1698651.9856794234;1872016.660019601;-586900.2402155478
31;263.665089873036;166.810053720006;3800;9469941.200126255;1099329.4015663434;-1712162.4213821513;1859769.1570600176;-612833.0198158121
32;263.665089873036;278.255940220713;3800;9464206.479921052;1094732.3388306252;-1711546.8906637835;1866436.6723623837;-616814.551833157
33;263.665089873036;464.158883361278;3800;9465529.364888718;1093635.8229321523;-1714312.358615845;1861575.8315525688;-620676.5356836868
34;263.665089873036;774.263682681127;3800;9488345.799875949;1097954.211225381;-1706321.8914693338;1873796.295867208;-608367.6802439565
35;263.665089873036;1291.54966501488;3800;9501341.62210217;1101004.3197284457;-1693662.3958784335;1877322.416090992;-592658.0761499851
36;263.665089873036;2154.43469003188;3800;9453030.556546321;1090637.4036375948;-1717770.5143425239;1858006.1806347282;-627133.1107049289
37;263.665089873036;3593.8136638046294;3800;9495170.926442841;1099082.0678848617;-1701315.806492591;1874892.6160288032;-602233.7386077319
38;263.665089873036;5994.84250318941;3800;9464516.238423198;1092948.7405564156;-1708122.500107924;1863464.4136859875;-615173.7595515081
39;263.665089873036;10000.0;3800;9489383.609958157;1097475.199866285;-1701582.3260621184;1874925.8944031473;-604107.1261958313
40;428.13323987194;100.0;3800;9456792.607292607;1094817.192384503;-1691381.7652777212;1832909.8493068186;-596564.5728932219
41;428.13323987194;166.810053720006;3800;9457786.939707534;1081631.9642632077;-1696974.2161011603;1842163.5033935516;-615342.2518379586
42;428.13323987194;278.255940220713;3800;9451248.50062131;1073650.6203558214;-1692892.9936206087;1850609.2539178713;-619242.3732647886
43;428.13323987194;464.158883361278;3800;9499331.585647136;1077679.7132954118;-1670376.1575717803;1873522.8004097603;-592696.444276373
44;428.13323987194;774.263682681127;3800;9435669.939984137;1065558.716620513;-1701869.1098952296;1848337.1491481273;-636310.3932747161
45;428.13323987194;1291.54966501488;3800;9494071.48321125;1074826.2091751057;-1677840.911792958;1865595.0392916757;-603014.7026178545
46;428.13323987194;2154.43469003188;3800;9471939.21028767;1071488.246833947;-1690266.2748660534;1858860.7518510516;-618778.0280321051
47;428.13323987194;3593.8136638046294;3800;9454862.54835486;1069239.3501295003;-1693092.7176174095;1850993.1676034848;-623853.3674879076
48;428.13323987194;5994.84250318941;3800;9456721.897174167;1069341.2935476792;-1692640.3082723692;1845820.29070407;-623299.0147246906
49;428.13323987194;10000.0;3800;9484375.15904796;1074262.9617810633;-1681290.021459321;1864101.2867727836;-607027.0596782535
50;695.192796177561;100.0;3800;9486969.758287305;1091493.7440976647;-1657990.9467316023;1825746.605132815;-566497.2026339388
51;695.192796177561;166.810053720006;3800;9467161.811149154;1069432.7698305117;-1664213.9476520761;1819065.7174447172;-594781.1778215638
52;695.192796177561;278.255940220713;3800;9485602.838335877;1057036.6028894617;-1651773.1149165554;1844252.1697073854;-594736.5120270909
53;695.192796177561;464.158883361278;3800;9465965.832690155;1044129.4378782044;-1658271.4669081005;1848180.230827311;-614142.0290298932
54;695.192796177561;774.263682681127;3800;9470275.760487325;1042479.8170942839;-1660857.3362497939;1849124.796013609;-618377.51915551
55;695.192796177561;1291.54966501488;3800;9509744.23606275;1050539.091009632;-1643593.272548251;1867459.1032908775;-593054.1815386169
56;695.192796177561;2154.43469003188;3800;9476411.3803017;1044921.137027834;-1657105.7048559706;1854860.0076541358;-612184.5678281393
57;695.192796177561;3593.8136638046294;3800;9449851.117042808;1040308.7116012748;-1661849.6699796533;1838993.592734542;-621540.9583783799
